year,value
1763,309
1764,301
1765,292
1766,301
1767,301
1768,313
1769,319
1770,308
1771,317
1772,351
1773,297
1774,324
1775,363
1776,324
1777,313
1778,319
1779,306
1780,319
1781,344
1782,356
1783,325
1784,338
1785,315
1786,300
1787,325
1788,334
1789,328
1790,322
1791,330
1792,333
1793,370
1794,325
1795,311
1796,346
1797,328
1798,321
1799,318
1800,323
1801,337
1802,347
1803,319
1804,315
1805,295
1806,314
1807,342
1808,341
1809,312
1810,301
1811,333
1812,298
1813,288
1814,338
1815,321
1816,323
1817,363
1818,338
1819,373
1820,358
1821,325
1822,363
1823,345
1824,388
1825,351
1826,335
1827,344
1828,371
1829,360
1830,368
1831,340
1832,374
1833,335
1834,370
1835,338
1836,351
1837,349
1838,354
1839,363
1840,338
1841,353
1842,338
1843,329
1844,336
1845,364
1846,361
1847,350
1848,343
1849,345
1850,336
1851,372
1852,350
1853,378
1854,378
1855,369
1856,367
1857,480
1858,494
1859,460
1860,461
1861,422
1862,440
1863,494
1864,359
1865,397
1866,423
1867,467
1868,444
1869,424
1870,450
1871,456
1872,467
1873,428
1874,478
1875,461
1876,486
1877,469
1878,497
1879,477
1880,462
1881,467
1882,487
1883,478
1884,489
1885,469
1886,478
1887,483
1888,489
1889,490
1890,565
1891,489
1892,489
1893,490
1894,478
1895,501
1896,522
1897,494
1898,506
1899,489
1900,511
1901,500
1902,506
1903,511
1904,494
1905,528
1906,511
1907,500
1908,489
1909,490
1910,510
1911,500
1912,489
1913,567
1914,522
1915,539
1916,528
1917,517
1918,517
1919,506
1920,517
1921,520
1922,522
1923,506
1924,530
1925,517
1926,517
1927,511
1928,517
1929,511
1930,500
1931,522
1932,511
1933,528
1934,520
1935,506
1936,522
1937,511
1938,517
1939,512
1940,528
1941,511
1942,522
1943,511
1944,506
1945,528
1946,517
1947,522
1948,550
1949,567
1950,522
1951,528
1952,567
1953,567
1954,517
1955,528
1956,539
1957,506
1958,561
1959,550
1960,539
1961,533
1962,506
1963,500
1964,506
1965,500
1966,550
1967,511
1968,517
1969,506
1970,511
1971,511
1972,533
1973,511
1974,528
1975,539
1976,508
1977,519
1978,511
1979,506
1980,511
1981,517
1982,528
1983,516
1984,535
1985,539
1986,506
1987,525
1988,542
1989,528
1990,522
1991,522
1992,540
1993,528
1994,533
1995,528
1996,528
1997,517
1998,539
1999,540
2000,522
2001,546
2002,533
2003,547
2004,517
2005,539
2006,547
2007,539
2008,540
2009,533
2010,539
2011,539
2012,537
2013,539
2014,522
2015,556
2016,539
2017,529
2018,528
2019,532
2020,544
2021,471
