year,value
1877,311
1878,350
1879,344
1880,333
1881,361
1882,335
1883,356
1884,330
1885,322
1886,339
1887,361
1888,339
1889,322
1890,317
1891,345
1892,363
1893,428
1894,428
1895,411
1896,439
1897,428
1898,428
1899,406
1900,422
1901,461
1902,400
1903,450
1904,450
1905,500
1906,511
1907,500
1908,461
1909,467
1910,456
1911,456
1912,478
1913,467
1914,467
1915,472
1916,472
1917,467
1918,478
1919,467
1920,467
1921,467
1922,483
1923,461
1924,478
1925,489
1926,489
1927,467
1928,461
1929,483
1930,483
1931,483
1932,467
1933,489
1934,483
1935,467
1936,478
1937,483
1938,472
1939,489
1940,467
1941,444
1942,472
1943,472
1944,444
1945,456
1946,467
1947,472
1948,467
1949,478
1950,489
1951,450
1952,461
1953,461
1954,478
1955,483
1956,483
1957,483
1958,456
1959,440
1960,450
1961,494
1962,461
1963,448
1964,456
1965,452
1966,450
1967,444
1968,448
1969,450
1970,459
1971,459
1972,461
1973,470
1974,456
1975,450
1976,490
1977,444
1978,465
1979,490
1980,450
1981,456
1982,445
1983,483
1984,456
1985,465
1986,480
1987,461
1988,480
1989,480
1990,478
1991,467
1992,490
1993,478
1994,461
1995,490
1996,464
1997,456
1998,462
1999,467
2000,480
2001,475
2002,460
2003,480
2004,490
2005,470
2006,480
2007,467
2008,489
2009,480
2010,520
2011,489
2012,467
2013,494
2014,457
2015,494
2016,478
2017,483
2018,474
2019,485
2020,466
2021,437
